Question Text,Marking Scheme,Example Answer
") In the coming years, On wants to invest even more in innovation. Therefore, various new technologies are explored. Choose a future technology and derive a possible innovation for On. Briefly explain your suggestion and tell whether it is a push or a pull innovation.",Allocation of points: 1P for relevant future technology 1P for meaningful innovation for on with explanation 1P for classification as push (or pull) that makes sense  each of the three elements must be clearly mentioned,"3D printing => printed shoes based on individual foot scan => push innovation (based on new capabilities thanks to advances in 3D printing) - AI/microchips inside shoes => tracking of location, speed, distance, running pattern; with or without personalized improvement suggestions - VR/AR => try shoes on virtually No points: - generic suggestion without clear innovation, e.g. use of new material, lighter cloth, new model with enhanced cloud technology - implementation of existing innovation, e.g. made from PET bottles or develop app to track running - completely unrealistic, sci-fi suggestions such as flying shoes"
Think about current megatrends that could have an impact on On. Provide an opportunity-threat analysis for On based on at least three megatrends.,"1P per meaningful megatrend (max. 3P) 1P for explanation (0.5P) and classification (0.5P) as opportunity or threat (max. 3P)  Any classification as opportunity/threat is accepted, if argument is consistent/makes sense and student shows understanding of the megatrend","Example solution: - Urbanization => people want to run/do sports in the city (opportunity) - Health => people want to stay fit and healthy, therefore go running (opportunity) - Individualization => people do not want the same shoes as their neighbors (risk) - Climate change => people want to be less consumerist/buy less (risk) No points: - Description of megatrends => it has to be correctly named - Demand trends, societal trends, travel trends etc. (e.g. comfort, fashion, adventure)"
Outline the most important influences of the environment and its stakeholders on On in a system view. Select at least four elements and describe at least two feedback loops.,1P per element of the system/network (max. 4P)  Refers to stakeholders/environments in SGMM 1P per meaningful feedback loop (max. 2P)  Refers to systematic network/impact analysis,Example solution: e.g. unhappy employee => worse product/service => less sales => less revenue => worse working conditions => unhappy employees e.g. problem with supplier => hurts long-term cooperation => loss of trust => cooperation more difficult => more problems with supplier
What conclusions do you draw for On from this system analysis? Name at least two insights.,1P for clear deduction from system analysis above (consistency required) 1P per insight (max. 2P),e.g. keep employees happy/great place to work to maintain high service quality e.g. increasing market share leading to self-fulfilling growth of sales e.g. price is dependent on various factors: on competitors’ positioning and the existing room for differentiation and on production and shipping costs
On is considering the extension of its product range to tennis shoes. What type of decision is involved? Base your answer on three characteristics of the decision.,"1P for the decision type 1P per meaningful characteristic of the decision type (max. 3P)  No points for characteristics that do not fit; with several answers, highest-scoring variant is considered","- Complex decision: uncertain/changing environment, unclear/unknown opponents, systemic feedback loops, unstable goals/variants, unpredictable outcome (4P) - Bounded rationality decision: unconscious violation of rationality, limited information and cognitive skills, uncertainty and risk often unclear/unclarified (4P) Alternative solutions (partly accepted with meaningful arguments):  Program policy decision: extension of product range; horizontal diversification or product differentiation, depending on argumentation (1P for decision, up to 3P for meaningful explanation)  Strategic decision: strategic because it is about generating competitive advantage, because economies of scope are utilized, because of the strategic significance of the segment, etc. (1P for decision, up to 3P for meaningful explanation)  Positioning/segmentation/targeting decision: fundamental shift of positioning when entering a new market segment/target market with tennis shoes (1P for decision; up to 3P for meaningful explanation)"
With which method(s) would you process the decision? Briefly explain your suggested method(s) and selection.,Allocation of points: 1P for a meaningful method/decision rule 2P for a meaningful explanation of the selected method  Consistency between a) and b) is required.,"Scenario planning method: developing different scenarios and development paths to address complex decisions; ongoing reviewing and possibly dynamic adjusting of the plan/targets/variants, etc. Heuristics: adopting simplified rules to approach the complex decision or a decision under bounded rationality and make the project manageable despite its many uncertainties; e.g. trial and error, avoid worst case, etc. Alternative solutions:  If there is consistency with a), alternative solutions are (partially) accepted. Up to 2P if suggested method consists of a strategy framework (SWOT, Porter’s five forces, etc.), a market research method (qualitative, quantitative, etc.), a problem-solving process (with several meaningful steps), etc."
Develop two variants of a corporate structure for On in the form of a divisional organization and in the form of a matrix organization.,3P per organizational structure with meaningful elements (max. 6P)  The organizational structure/sketch needs to be linked to the case,"Divisional structure: Divisions can be structured by regions or products or customers; central functions must be included/considered In each division: development, marketing, sales, finance, HR, IT; each division should have same subdivisions/functions - Matrix structure: Matrix can be structured by divisions, regions, products, and functions Combination/visualization of X- and Y-axis must be meaningful"
Which of the two variants would you choose and why? Provide at least two arguments.,1P per reason (max. 2P) 1P for meaningful conclusion/explanation,"Divisional structure: + simpler structures, economies of scale, more focused (innovation), easier to sell fractions (company within company), etc. - further from regional markets, risk of divisional silos, double work, higher resource intensity, etc. - Matrix structure: + close to the regional markets, more customer centric, etc. - resource intensive, complex structure with two superiors (on X- and Y-axis), etc. => Selection of either matrix or division structure, based on arguments above."
Design a strategy for On based on the idea of competitive advantage. Classify the strategy into a strategy framework of your choice (e.g. Ansoff or BCG matrix).,3P for illustration of framework (e.g. two axes and specifications) 0.5P per axis and specification (max. 3P) 1P for explanation/classification of designed/selected strategy (related to framework) 0.5P each if the specification or axis is described text form  synonyms (e.g. old for existing) are accepted; subsequent errors are considered,"Possible strategies based on Ansoff matrix: - e.g. diversification: diversifying into the market for tennis shoes, hiking boots, etc. - e.g. product development: further innovation of their cloud-technology - e.g. market penetration (entering an existing market with an existing product) - e.g. Ansoff framework focuses on strategy for growth (product differentiation)

> Possible strategies based on BCG matrix:
- e.g. moving from question mark to star: increasing the market share in the growth
market for high-end running shoes
- BUT: On is not a cash cow since it is explicitly stated in the case that the market is
still growing strong. It is also not (yet) a star since on is a very small player in comparison to Nike and Adidas

> Possible strategies based on Porter:
- e.g. differentiation: provide unique running experience/comfort
- e.g. cost leadership: must be well explained, as others might have advantages here
- e.g. focus on strategic advantage: focus on people with specific/special needs…"
Is your strategy based on an inside-out or an outside-in perspective of the firm? Provide a brief explanation.,"2P for classification and meaningful explanation max. 1P if there is just a correct definition, 1.5P if definition includes strategy; max. 1P if the classification is wrong but the explanation is meaningful","- Inside-out: resource-based view => resource configuration; core competences, resources - Outside-in: market-based view => marked positioning; positioning towards customers (brand), positioning in (attractive future) segments (market shares) => Brand image can be both inside-out (resource) or outside-in (position in the market) and requires meaningful explanation"
What changes in management style can be expected as On grows and consolidates? Classify the change by relating it to a scheme of leadership styles,"4P if the leadership style in start-up phase and the leadership with growth is named, the characteristics of each style are explained and a good reasoning why this change is expected is provided (0.5P for each style named, 1P each for the explanation of the characteristics of the styles and 1P for direction and meaningful explanation; 2P for a complete drawing of the leadership-continuum/framework)","Start-up phase: Participative to democratic: joint decisions in the team; relational: one knows each other, works goal-oriented out of mutual responsibility; theory Y; important instruments: group decisions and information, tangible joint responsibility Growth phase: Participative to patriarchal: management team makes central decisions: leads employees; tendency towards transactional management: work is done with defined and monitorable goals; theory X, town hall meetings, information, role model function, coaching, leadership principles, selection of suitable employees Accepted variants/concepts: Leadership-continuum E.g.: During the startup phase primarily democratic leadership style, during growth phase more participative or even patriarchal leadership style. Transactional versus Transformational E.g.: As On growths, its leadership style might change from a transformational style to a more transactional style. This is due to a higher complexity with more people working for on. Individual attention is harder to achieve, therefore systematic feedback is needed. Theory X versus Theory Y E.g.: As On growths, there is a risk/chance, that people are less intrinsically motivated/commited, which means that leadership could shift from participation to control, from delegation and decentralization to more hierarchical and centrally instructed decision making."
Describe at least two consequences for personnel management as a result of this expected growth and consolidation.,1P per meaningful consequence for an element of personnel management (max. 2P)  Important that answer is from a personnel management point of view! “More people work for On” is insufficient; what is the implication for personnel management? (0.5P for only naming a consequence but not explaining what HR does),"- Requirements assessment: e.g. more foresighted planning, monitoring fluctuation - Recruitment: e.g. more strategic employer branding, campus recruitment - Deployment: e.g. more project based, competence based, specialization - Motivation and remuneration: e.g. incentives for long-term engagement - Development: e.g. opportunities for personal growth, promotions, training

Accepted alternatives (with explanation):
- preservation of culture
- ensuring compliance
- sharing implicit knowledge
- monitoring of employees
- higher fluctuation
- improved communication within the company"
") There has been media discussion about a possible “initial public offering” (IPO) of
On. How would such public listing of its shares change the relationship with the
stakeholders? Explain by discussing at least three different stakeholders",2P for first stakeholder and clear explanation 1P for second and third stakeholder with explanation (max. 2P; 0.5P for naming the second and third stakeholder; 0.5P each for explanation),"Example solutions: - Investors/old owners/founders/Roger Federer: making shares more liquid/tradeable (but: less power for existing shareholders) - Employees: making them shareholders for long-term motivation/incentivization; less personal relationships to owners - General public: providing annual reporting according to the law/regulation - Customers: possibility to become shareholder; making them more connected/loyal - State: more taxes (e.g., through taxes on dividends), more jobs - Suppliers, producers, logistics partners, etc.: benefit from higher order volumes as company grows…"
"Why is On able to exist and grow in a very competitive market environment? Provide two possible explanations, which are based on two different theories of the firm.",2P per theory and meaningful explanation (max. 4P; 1P for naming the theory and 1P for the meaningful explanation either of theory or an explanation which fits one of the theories),"Customer value-based theory: On shoes provide superior value and satisfy needs of runners/customers successfully - Resource-based theory: On has patented technology (and/or a trusted brand) to create and sell very comfortable shoes - Transaction cost theory: On has an optimal configuration of its value chain with production outsourced to a country with very cheap labor (make versus buy) - Neoclassical theory: Size depends on the production optimum (marginal cost = marginal return); not counting demand/willingness to pay - Behavioral theory: Development of a company is dependent on coalitions and rationalities with stakeholders (e.g., Roger Federer, etc.)"
